PostCodes,Posttown,GDescription
LS5,West Yorkshire,Group 1
TR6,Cornwall,Group 2
NE63,Northumberland,Group 1
36,Ards,Unallocated
G81,West Dunbartonshire,Group 1
RG17,Berkshire,Group 2
KY4,Fife,Group 1
FY2,Lancashire,Group 1
TN31,East Sussex,Group 3
SE8,Greater London,Group 3
OX39,Oxfordshire,Group 3
S3,South Yorkshire,Group 1
LN7,Lincolnshire,Group 1
LL12,Wrexham,Group 2
PR7,Lancashire,Group 1
EC1N,Greater London,Group 3
CR5,Greater London,Group 3
CM22,Greater London,Group 3
RG22,Hampshire,Group 2
KY99,Fife,Group 1
AB43,Aberdeenshire,Group 1
WR2,Worcestershire,Group 2
TQ14,Devon,Group 2
DT7,Devon,Group 2
25,Ards,Unallocated
SA70,Pembrokeshire,Group 2
CM21,Hertfordshire,Group 3
CB1,Cambridgeshire,Group 3
CF46,Caerphilly,Group 2
G26,Glasgow City,Group 1
BH12,Dorset,Group 2
LA12,Cumbria,Group 1
45,Ards,Unallocated
LL62,Isle of Anglesey,Group 2
SO17,Hampshire,Group 2
EH24,Midlothian,Group 1
KY5,Fife,Group 1
AB14,Aberdeen City,Group 1
BN42,West Sussex,Group 3
CA99,Cumbria,Group 1
TN30,Kent,Group 3
CW1,Cheshire,Group 2
PH14,Perth and Kinross,Group 1
SY18,Powys,Group 2
RG30,Berkshire,Group 2
MK18,Buckinghamshire,Group 3
KT6,Surrey,Group 2
PA35,Argyll and Bute,Group 1
KA16,East Ayrshire,Group 1
SL6,Buckinghamshire,Group 2
NE23,Northumberland,Group 1
B60,Worcestershire,Group 2
CT4,Kent,Group 3
SG8,Cambridgeshire,Group 3
KT20,Surrey,Group 2
TW12,Greater London,Group 3
N9,Greater London,Group 3
NP24,Newport,Group 2
EH40,East Lothian,Group 1
HP12,Buckinghamshire,Group 3
PH2,Perth and Kinross,Group 1
EX34,Devon,Group 2
SA4,Swansea,Group 2
SY21,Shropshire,Group 2
EH9,City of Edinburgh,Group 1
S52,South Yorkshire,Group 1
B46,Warwickshire,Group 2
OX18,Gloucestershire,Group 3
SS2,Greater London,Group 3
SY3,Shropshire,Group 2
PE22,Lincolnshire,Group 1
HP5,Buckinghamshire,Group 3
SS22,Greater London,Group 3
TA22,Devon,Group 2
L38,Merseyside,Group 2
PO18,West Sussex,Group 2
WC2R,Greater London,Group 3
BT55,Coleraine,Unallocated
JE4,Jersey,Unallocated
G33,Glasgow City,Group 1
SR4,Tyne and Wear,Group 1
PH32,Highland,Group 1
11,Ards,Unallocated
NP26,Monmouthshire,Group 2
CV35,Warwickshire,Group 2
B77,Staffordshire,Group 2
L32,Merseyside,Group 2
EH46,Midlothian,Group 1
BT65,Craigavon,Unallocated
LL48,Gwynedd,Group 2
BT93,Fermanagh,Unallocated
N1,Greater London,Group 3
CO16,Greater London,Group 3
CR6,Surrey,Group 3
TA5,Somerset,Group 2
PH4,Perth and Kinross,Group 1
S61,South Yorkshire,Group 1
S78,South Yorkshire,Group 1
B24,West Midlands,Group 2
SE5,Greater London,Group 3
TS13,North Yorkshire,Group 1
WS15,Staffordshire,Group 2
DN55,South Yorkshire,Group 1
SW4,Greater London,Group 3
IV23,Highland,Group 1
CR8,Greater London,Group 3
DA7,Kent,Group 3
JE1,Jersey,Unallocated
OL3,Lancashire,Group 1
RG27,Hampshire,Group 2
LS22,North Yorkshire,Group 1
WV13,West Midlands,Group 2
CF3,Caerphilly,Group 2
SG15,Bedfordshire,Group 3
EX2,Devon,Group 2
BT82,Strabane,Unallocated
NN11,Northamptonshire,Group 2
LE9,Leicestershire,Group 2
BT48,Derry City,Unallocated
EH55,South Lanarkshire,Group 1
CO6,Greater London,Group 3
KT16,Surrey,Group 2
TD15,Northumberland,Group 1
BH3,Dorset,Group 2
BA15,Wiltshire,Group 2
PA30,Argyll and Bute,Group 1
DA18,Kent,Group 3
DN4,South Yorkshire,Group 1
SA41,Pembrokeshire,Group 2
CM9,Greater London,Group 3
S99,South Yorkshire,Group 1
SP10,Hampshire,Group 2
FK6,Falkirk,Group 1
HP22,Buckinghamshire,Group 3
AB51,Aberdeenshire,Group 1
ST10,Staffordshire,Group 2
NN7,Northamptonshire,Group 2
BN23,East Sussex,Group 3
CV34,Warwickshire,Group 2
IP23,Suffolk,Group 3
DG14,Dumfries and Galloway,Group 1
LL78,Isle of Anglesey,Group 2
BH23,Dorset,Group 2
43,Ards,Unallocated
